StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q60,Q60_2_TEXT,ZR01,ZR02.C,ZR02.F,ZR02.H,ZR03,ZR04,ZR05.C,ZR05.F,ZR05.H,ZR06.C,ZR06.F,ZR06.H,ZA01.C,ZA01.F,ZA01.H,ZA02.C,ZA02.F,ZA02.H,ZA03.C,ZA03.F,ZA03.H,ZA04.C,ZA04.F,ZA04.H,ZA05.C,ZA05.F,ZA05.H,ZA06.C,ZA06.F,ZA06.H,ZA07.C,ZA07.F,ZA07.H,ZA08.C,ZA08.F,ZA08.H,ZA09.C,ZA09.F,ZA09.H,ZA10.C,ZA10.F,ZA10.H,ZA11.C,ZA11.F,ZA11.H,ZE.C,ZE.F,ZE.H,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,ZP02,ZP02_4_TEXT,Q25,ZD02,ZD02_4_TEXT,Q27,Q27_8_TEXT,FName,CName,HName,user_code
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,My #ID is [Field-user_code]. - Selected Choice,"My #ID is [Field-user_code]. - No, it is: - Text",I found the conversation productive.,I felt heard and understood by [Field-CName].,I felt heard and understood by [Field-FName].,I felt heard and understood by [Field-HName].,I learned valuable information during the conversation.,The conversation influenced my opinion on at least one issue.,I gained a better understanding of [Field-CName]'s perspective.,I gained a better understanding of [Field-FName]'s perspective.,I gained a better understanding of [Field-HName]'s perspective.,I feel [Field-CName]'s responses were productive and encouraged frank discussion.,I feel [Field-FName]'s responses were productive and encouraged frank discussion.,I feel [Field-HName]'s responses were productive and encouraged frank discussion.,[Field-CName] used toxic or inflammatory language.,[Field-FName] used toxic or inflammatory language.,[Field-HName] used toxic or inflammatory language.,I felt [Field-CName] responded in a way that addressed and countered toxic or inflammatory language.,I felt [Field-FName] responded in a way that addressed and countered toxic or inflammatory language.,I felt [Field-HName] responded in a way that addressed and countered toxic or inflammatory language.,[Field-CName] shared information I believe was factually incorrect.,[Field-FName] shared information I believe was factually incorrect.,[Field-HName] shared information I believe was factually incorrect.,I felt [Field-CName] responded in a way that addressed and countered information I believe was incorrect.,I felt [Field-FName] responded in a way that addressed and countered information I believe was incorrect.,I felt [Field-HName] responded in a way that addressed and countered information I believe was incorrect.,"[Field-CName] made biased comments towards or against groups of people (concerning race, gender, class, sexuality, or something else).","[Field-FName] made biased comments towards or against groups of people (concerning race, gender, class, sexuality, or something else).","[Field-HName] made biased comments towards or against groups of people (concerning race, gender, class, sexuality, or something else).",I felt [Field-CName] responded in a way that addressed and countered bias.,I felt [Field-FName] responded in a way that addressed and countered bias.,I felt [Field-HName] responded in a way that addressed and countered bias.,[Field-CName] made logical flaws in their reasoning.,[Field-FName] made logical flaws in their reasoning.,[Field-HName] made logical flaws in their reasoning.,I felt [Field-CName] responded in a way that addressed logical flaws in others' responses.,I felt [Field-FName] responded in a way that addressed logical flaws in others' responses.,I felt [Field-HName] responded in a way that addressed logical flaws in others' responses.,[Field-CName] misrepresented what I said or what others said.,[Field-FName] misrepresented what I said or what others said.,[Field-HName] misrepresented what I said or what others said.,[Field-CName] misconstrued or misrepresented information from sources they cited.,[Field-FName] misconstrued or misrepresented information from sources they cited.,[Field-HName] misconstrued or misrepresented information from sources they cited.,I felt [Field-CName] responded in a way that addressed or countered misrepresentations.,I felt [Field-FName] responded in a way that addressed or countered misrepresentations.,I felt [Field-HName] responded in a way that addressed or countered misrepresentations.,"Which responses or behaviors by [Field-CName], if any, helped or hindered frank discussion?","Which responses or behaviors by [Field-FName], if any, helped or hindered frank discussion?","Which responses or behaviors by [Field-HName], if any, helped or hindered frank discussion?","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Immigration Control","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - National Debt","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Social Reform","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Inflation","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Climate Change","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Healthcare","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Gun Control","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Unemployment","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - LGBTQ+ Rights","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Reproductive Rights","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Public Safety and Defense","Please rank these topics in terms of importance according to your personal beliefs, with 1 (top) being most important and 12 (bottom) being least important.  Use your mouse to drag and drop the options in order of personal importance. - Immigrant Rights","Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or what? - Selected Choice","Generally speaking, do you usually think of yourself as a Democrat, a Republican, an independent, or what? - Other - Text",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self describe - Text,What is your race/ethnicity?  Select all that apply: - Selected Choice,What is your race/ethnicity?  Select all that apply: - Other - Text,FName,CName,HName,user_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID71""}","{""ImportId"":""QID71_2_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID66""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID50""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID48_7""}","{""ImportId"":""QID48_8""}","{""ImportId"":""QID48_9""}","{""ImportId"":""QID48_10""}","{""ImportId"":""QID48_11""}","{""ImportId"":""QID48_12""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_4_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_4_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID53_8_TEXT""}","{""ImportId"":""FName""}","{""ImportId"":""CName""}","{""ImportId"":""HName""}","{""ImportId"":""user_code""}"
2025-12-01 14:36:07,2025-12-01 14:45:55,IP Address,100,588,True,2025-12-01 14:45:55,R_5LGxHIeYrQRq9to,anonymous,EN,"No, it is:",2027,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,"Strawberry typed really fast, and turned out to be a bot in the end even though it said it was a human operated account beforehand",only appeared towards the end where it then didn't say much,"orange didn't do a great job of responding, there was also weird text that it put out",11,5,9,2,1,7,8,3,12,4,6,10,Independant,,18-24,Male,,"Asian,White",,cherry,strawberry,orange,2027
2025-12-01 14:35:57,2025-12-01 14:47:08,IP Address,100,670,True,2025-12-01 14:47:08,R_1nGljbejOqQUXux,anonymous,EN,That is correct.,,Somewhat disagree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,"Strawberry made good points but then went on tangents that had nothing to do with what we were talking about, like whether or not the population of a state is represented by its elected officials, and mentions of the ""religious right"". ","cherry only responded once during my conversation, so they were neither helping or hindering the disucssion.","Blueberry made their opinion known at the very beginning, which was helpful. However, they also went on tangents about the social presentation of cis vs trans women, like behavioral characteristics. This had nothing to do with the conservation at hand about whether or not trans women hold a physical advantage over cis women in sports. ",9,11,1,12,8,2,7,5,4,3,10,6,Democrat,,18-24,Female,,Hispanic or Latino,,cherry,strawberry,blueberry,2036
2025-12-01 14:35:53,2025-12-01 14:47:48,IP Address,100,715,True,2025-12-01 14:47:48,R_16Rk4snmjGtnWFz,anonymous,EN,That is correct.,,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Strongly disagree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,"strawberry's responses felt more emotionally driven, making me want to listen to her concerns. She mostly gave facts about her personal experiences more than real, proven facts.",orange only added one comment that countered strawberry's hyperbole. I think this comment was factual and changed the direction of the debate.,"blueberry was very frank; however, they were extremely one-sided. I didn't fully trust anything blueberry said because the tone in all of their messages seemed condescending.",4,3,6,1,9,2,10,5,12,11,8,7,Other,"right-leaning, but I wish I could say none of the above",18-24,Female,,White,,orange,strawberry,blueberry,2054
2025-12-01 14:35:50,2025-12-01 14:55:10,IP Address,100,1159,True,2025-12-01 14:55:10,R_3OHy9XRwyPWVuvV,anonymous,EN,That is correct.,,Neither agree nor disagree,Neutral,Strongly disagree,Neutral,Agree,Disagree,Neutral,Strongly disagree,Agree,Neutral,Strongly disagree,Agree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Agree,Neutral,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Cherry's behavior somewhat hindered discussion by contradicting themselves multiple times.,blueberry didn't say anything,orange helped discussion by citing the American Medical Association with their views of the fetus being human life in response to cherry's inflammatory message.,8,4,1,2,11,3,5,12,10,6,7,9,Democrat,,18-24,Male,,White,,blueberry,cherry,orange,2009
2025-12-01 14:35:56,2025-12-01 14:55:11,IP Address,100,1154,True,2025-12-01 14:55:12,R_1cthm7jNUxpDooP,anonymous,EN,That is correct.,,Somewhat disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,"""why not?

e: You are really reaching here."" hindered discussion
","""You're right that there is a risk of other people in the household accessing guns, but there are ways to mitigate this risk, such as gun safes or trigger locks. We should encourage safe gun storage practices. ""
Helped conversation","""I guess the problem is not a big one.'
hindered discussion",9,10,12,8,1,4,5,3,11,7,2,6,Other,neither,Prefer not to say,Prefer not to say,,Prefer not to say,,strawberry,orange,blueberry,2045
